Country Name,Country Code,Indicator Name,Indicator Code,year,value
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1995,9.540480175
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1996,9.340017496
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1997,8.152084143
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1998,5.764455464
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1999,4.773586881
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,6.787316408
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,6.192893312
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2002,6.320820988
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2003,6.899063492
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2004,7.536410612
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2005,7.547247727
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2006,6.977954812
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2007,7.129504484
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2008,5.661771208
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2009,5.397897543
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2010,6.423238217
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2011,6.240302749
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2012,5.247367156
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2013,5.421882991
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,5.983654637
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2015,6.679288789
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2016,6.210811668
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2017,6.81224566
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2018,7.075788617